payment_date,payment_month,supplier,expense_type,expense_area,supplier_type,supplier_post_code,amount,transaction_number,description
2024-01-09,2024-01-01 00:00:00,WHITE HORSE ENERGY LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Gl7 1yg,189052.76,562810,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other
2024-01-09,2024-01-01 00:00:00,DELOITTE LLP,Procurement Consultancy,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Vendor,Ec4a 3bz,61702.87,562879,Desnz - Energy Bill Discount Scheme Del-prog-procurement Consultancy
2024-01-09,2024-01-01 00:00:00,KEW PROJECTS LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,B3 3hn,49447.88,562819,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other
2024-01-09,2024-01-01 00:00:00,IMPERIAL COLLEGE LONDON,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Wga Only,Sw7 2az,26715.47,562760,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-09,2024-01-01 00:00:00,BUREAU VAN DIJK ELECTRONIC PUBLISHING LTD,Library Services,Ics - Integrated Corporate Services - Ics - Digital,Vendor,E14 5fa,323505.0,562811,Ics - Admin-library Services
2024-01-09,2024-01-01 00:00:00,ULTIMA BUSINESS SOLUTIONS LTD,It Software Licences And Software Maintenance,Ics - Integrated Corporate Services - Ics - Finance Directorate,Vendor,Rg2 0na,507363.96,562875,Ics - Admin-it Software Licences And Software Maintenance
2024-01-09,2024-01-01 00:00:00,UNIVERSITY OF SHEFFIELD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,S10 2tn,145152.83,562786,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other
2024-01-09,2024-01-01 00:00:00,TWI LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Cb21 6al,37880.1,562803,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish
2024-01-09,2024-01-01 00:00:00,VISIONIST LTD,Outsourced Technical Support,Ics - Integrated Corporate Services - Ics - Digital,Vendor,Bh24 3fg,276243.0,562734,Ics - Admin-outsourced Technical Support
2024-01-09,2024-01-01 00:00:00,QDOT TECHNOLOGY LTD,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Grant,Ox11 0qx,79393.33,562757,Desnz - Delivery Of Beis Energy Innovation-r & D Current Grants To Private Sector - Npish
2024-01-09,2024-01-01 00:00:00,BARINGA PARTNERS LLP,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Vendor,Sw1e 6aj,280830.0,561029,Desnz - Reform Of Energy System Operations-other Professional Services
2024-01-09,2024-01-01 00:00:00,ASTRAEUS CONSULTING LTD,Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Vendor,Hp4 2df,63670.0,563120,Desnz - Uk Role In Eu Ets-other It Consultancy
2024-01-09,2024-01-01 00:00:00,LONDON ECONOMICS LTD,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Vendor,Wc2r 1la,57625.6,562796,Desnz - Climate Science Capability-r & D Outsourced Other
