Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
04/10/2024,Other Technical Professional Services,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Methods Business And Digital Technology Ltd,622911,50048.15,Desnz - Reform Of Energy System Operations-other Technical Professional Services,Ec1n 8ts,Vendor
04/10/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Projects Delivery Directorate",Ove Arup And Partners Ltd,623846,55868.75,Desnz - New Nuclear Sizewell C (Net Zero)-Technical Advice / Services & Support,W1t 4bj,Vendor
04/10/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Cemcor Ltd,625584,333767.23,Desnz - Industrial Energy Transformation Scheme-capital Grants To Private Sector - Companies,Bt80 9ap,Grant
04/10/2024,Other Goods/Services,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",International Institute For Environment And Development  (Iied),624401,85347.07,Desnz - Climate Science International-other Goods/Services,Wc2a 1ap,Grant
04/10/2024,Central Telecommunications Services,Ics - Integrated Corporate Services - Ics - Digital,Telefonica Uk Ltd,606626,48438.77,Ics - Admin-central Telecommunications Services,Rg2 6uu,Vendor
04/10/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Ove Arup And Partners Ltd,625321,100936.68,Desnz - Heat Networks Zoning-research And Development Expenditure,W1t 4bq,Vendor
07/10/2024,Ict Maintenance & Upkeep,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuvia Ltd,625615,273500.69,Desnz - Radiation Monitor Network-ict Maintenance & Upkeep,Wa3 6xg,Vendor
07/10/2024,Training And Development Expenditure,Desnz - Corporate Services - Desnz - Human Resources,Cabinet Office,624402,27000,Ics - Desnz Cs Admin-training And Development Expenditure,Np10 8fz,Wga Only
07/10/2024,Purchase Of Intangible Software,Ics - Integrated Corporate Services - Ics - Finance Directorate,Clue Computing Company Ltd,625058,54306,Ics - Admin-purchase Of Intangible Software,Bs14 9bz,Vendor
07/10/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kellogg Company Of Great Britain Ltd,625680,409975.88,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Outsourced Other,M50 2hf,Grant
