Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
23/02/2024,Current Grants To Overseas Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuclear Decommissioning Authority,573031,36120,Desnz - Munnings-current Grants To Overseas Bodies,Sw1a 2eg,Vendor
07/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",R And B Industrial Ltd,554802,53327.3,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sp10 3bb,Grant
14/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Uk Centre For Ecology And Hydrology,562831,560256.01,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Ox10 8bb,Vendor
05/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",R And B Industrial Ltd,564352,52348.79,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sp10 3bb,Grant
20/02/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Imperial College London,564566,67987.95,Desnz - Net Zero Innovation Industry And Carbon Capture Demonstration-r & D Current Grants To Private Sector - Npish,Sw7 2az,Wga Only
14/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",The University Of Manchester,565334,694773.38,Desnz - Net Zero Innovation - Hydrogen-r & D Outsourced Other,M13 9pl,Vendor
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Verna Earth Solutions Ltd,568822,75632.2,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Wd6 1pn,Vendor
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cpl Products Ltd,568865,334366.62,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,S21 1tz,Vendor
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cambridge Carbon Capture Ltd,568868,52080.6,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Cb4 2hy,Vendor
06/02/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Cambridge Carbon Capture Ltd,568870,149801.25,Desnz - Net Zero Innovation - Bioenergy And Vc-r & D Outsourced Other,Cb4 2hy,Vendor
