Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
01/03/2024,Grant-in-aid To Arms Length Bodies,"Desnz - Net Zero, Nuclear & International - Desnz - Nda",Nuclear Decommissioning Authority,575626,216000000,Desnz - Nuclear Decommissioning Authority Grant In Aid-grant-in-aid To Arms Length Bodies,Ca24 3hu,Vendor
28/03/2024,Cl - Cash Cfers Paid Over To Hmt,"Desnz - Net Zero, Nuclear & International - Desnz - Nda",Consolidated Fund Account 6622,585516,61415791.5,Desnz - Nuclear Decommissioning Authority Grant In Aid-cl - Cash Cfers Paid Over To Hmt,Rh10 1uh,Wga Only
14/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,573008,256889.1,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
06/03/2024,Clearing - Cost - Assets Under Construction - Internally Developed Software,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Trasys International Eeig (Nrb Group),575552,143705.87,Desnz - Uk Role In Eu Ets-clearing - Cost - Assets Under Construction - Internally Developed Software,4040,Vendor
04/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,575662,52206,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
04/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,575663,36702,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
08/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,576962,75470.4,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
20/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,581516,145725,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
21/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,581536,67128,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
21/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,582075,341453,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
21/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,582076,194784,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
22/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,582082,55106,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Se18 5nj,Wga Only
26/03/2024,International Subscriptions,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,United Nations Framework Convention On Climate Change,582287,70495.39,Desnz - Uk Role In Eu Ets-international Subscriptions,53113,Grant
25/03/2024,Other It Consultancy,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Astraeus Consulting Ltd,583377,117980,Desnz - Uk Role In Eu Ets-other It Consultancy,M50 1rd,Vendor
28/03/2024,Clearing - Cost - Assets Under Construction - Internally Developed Software,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Trasys International Eeig (Nrb Group),583388,64838.58,Desnz - Uk Role In Eu Ets-clearing - Cost - Assets Under Construction - Internally Developed Software,4040,Vendor
27/03/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Environment Agency,584303,489398,Desnz - Uk Role In Eu Ets-current Grants To Private Sector - Npish,Np10 8fz,Wga Only
27/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,584593,91176,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
27/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,584607,86808,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
27/03/2024,Business Management Advice,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Industrial Decarbonisation And Emissions Trading,Pa Consulting Services Ltd,584612,75470.4,Desnz - Uk Role In Eu Ets-business Management Advice,Sw1e 5dn,Vendor
14/03/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Centre For Environment  Fisheries And Aquaculture Science,574895,40100,Desnz - Devolved Admin-technical Advice / Services & Support,Nr33 0ht,Vendor
07/03/2024,Ca - Beis Coal Health Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Coal Health,576809,350000,Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferr-ca - Beis Coal Health Gbs Account,Sw1h 0et,Vendor
07/03/2024,Utilisation Of Provisions - Social Assistance Benefits - Concessionary,Desnz - Energy Infrastructure - Desnz - Energy Development,Homefire Group Ltd,576845,780231.62,"Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contrac-utilisation Of Provisions - Social Assistance Benefits - Concessionary",S21 1tz,Vendor
08/03/2024,Grant-in-aid To Arms Length Bodies,Desnz - Energy Infrastructure - Desnz - Energy Development,Coal Authority,577007,5085000,Desnz - Payment Of Grant In Aid To The Coal Authority-grant-in-aid To Arms Length Bodies,Ng18 4rg,Vendor
11/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Clyde & Co Llp,577836,207616.15,Desnz - British Shipbuilders Provision-utilisation Of Provisions - Purchase Of Goods & Services - Other,Ne1 3az,Vendor
13/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Iron Mountain (Uk) Plc,578691,199479.26,Desnz - Coal Health Administration Costs Including Legal Defence And Records Man-utilisation Of Provisions - Purchase Of Goods & Services - Other,Eh54 7df,Vendor
13/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Zurich Insurance Plc T/A Zurich Municipal,578693,253341.9,Desnz - National Dock Labour Board Provision Del-utilisation Of Provisions - Purchase Of Goods & Services - Other,B16 9pf,Vendor
20/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Capita Pension Solutions Ltd,581558,102921.48,"Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contrac-utilisation Of Provisions - Purchase Of Goods & Services - Other",Dl1 9hn,Vendor
20/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Clyde & Co Llp,581787,34707,Desnz - Amd: British Shipbuilders Provision-utilisation Of Provisions - Purchase Of Goods & Services - Other,Ex3a 7ar,Vendor
25/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Cms Cameron Mckenna Nabarro Olswang Llp,582782,384282.68,Desnz - Coal Health Administration Costs Including Legal Defence And Records Man-utilisation Of Provisions - Purchase Of Goods & Services - Other,S1 4hs,Vendor
25/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Capita Pension Solutions Ltd,583382,102840.07,"Desnz - Concessionary Fuel Scheme Costs (Includes Supply, Distribution & Contrac-utilisation Of Provisions - Purchase Of Goods & Services - Other",Dl1 9hn,Vendor
25/03/2024,Utilisation Of Provisions - Purchase Of Goods & Services - Other,Desnz - Energy Infrastructure - Desnz - Energy Development,Clyde & Co Llp,583384,518359.39,Desnz - British Shipbuilders Provision-utilisation Of Provisions - Purchase Of Goods & Services - Other,Ne1 3az,Vendor
28/03/2024,Ca - Beis Concessionary Fuel Gbs Account,Desnz - Energy Infrastructure - Desnz - Energy Development,Beis Concessionary Fuel Gbs Account,584220,6986039.46,Desnz - Liabilities To Ex-british Coal Employees And Other Liabilities Transferr-ca - Beis Concessionary Fuel Gbs Account,Sw1h 0et,Vendor
07/03/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Four Communications Ltd,566219,58919.17,Desnz - Energy Saving Campaign-marketing And Media,E1 1fx,Vendor
15/03/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,567950,47270.9,Desnz - Energy Saving Campaign-marketing And Media,Se1 0sw,Vendor
22/03/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,567952,41203.61,Desnz - Energy Saving Campaign-marketing And Media,Se1 0sw,Vendor
15/03/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,567962,32779.07,Desnz - Energy Saving Campaign-marketing And Media,Se1 0sw,Vendor
05/03/2024,Marketing And Media,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Omnicom Media Group Uk Ltd T/A Manning Gottlieb Omd,574636,134486.18,Desnz - Energy Saving Campaign-marketing And Media,Se1 0sw,Vendor
