Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
09/05/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594673,55274,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
09/05/2024,Grant-in-aid To Arms Length Bodies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594717,954335.98,Desnz - Salix - Grant In Aid.-Grant-in-aid To Arms Length Bodies,E14 4pu,Grant
10/05/2024,Capital Grants To Public Corporations (Pcs),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594888,107696172.6,Desnz - Public Sector Decarbonisation Scheme (Psds)-Capital Grants To Public Corporations (Pcs),Ec4n 7be,Grant
10/05/2024,Capital Grants To Public Corporations (Pcs),Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594889,5358238.06,Desnz - Public Sector Decarbonisation Scheme (Psds)-Capital Grants To Public Corporations (Pcs),Ec4n 7be,Grant
10/05/2024,Current Grants To Private Sector - Npish,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Salix Finance Ltd,594891,6127540.7,Desnz - Low Carbon Skills Fund Lcsf-current Grants To Private Sector - Npish,Ec4n 7be,Grant
16/05/2024,Programme Monitoring And Evaluation,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Portfolio & Affordability,Winning Moves Ltd,596257,35454,Desnz - Psd Design & Delivery-programme Monitoring And Evaluation,B3 2aa,Grant
28/05/2024,Technical Advice / Services & Support,Desnz - Energy Infrastructure - Desnz - Renewable Electricity Directorate,Ove Arup And Partners Ltd,598552,34885.91,Desnz - Net Zero Costs - Admin-technical Advice / Services & Support,W1t 4bj,Vendor
24/05/2024,It Services,Ics - Integrated Corporate Services - Ics - Digital,Cabinet Office,582737,34724.97,Ics - Admin-it Services,Np10 8fz,Wga Only
02/05/2024,Ict Maintenance & Upkeep,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuvia Ltd,593211,740719.73,Desnz - Radiation Monitor Network-ict Maintenance & Upkeep,Wa3 6xg,Vendor
09/05/2024,It Management And Change - Application Support Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,594905,96817.4,Desnz - Rrems Business As Usual-it Management And Change - Application Support Services,Ec3m 3by,Vendor
10/05/2024,It Management And Change - Application Support Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,594973,316640,Desnz - Rrems Business As Usual-it Management And Change - Application Support Services,Ec3m 3by,Vendor
10/05/2024,It Management And Change - Application Support Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,594974,30024,Desnz - Rrems Business As Usual-it Management And Change - Application Support Services,Ec3m 3by,Vendor
20/05/2024,Other Goods/Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Office For Nuclear Regulation,596166,28541.79,Desnz - Nspf Ukraine Support-other Goods/Services,L20 7hs,Vendor
20/05/2024,Other Goods/Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Office For Nuclear Regulation,596189,279096.29,Desnz - Nspf Ukraine Support-other Goods/Services,L20 7hs,Vendor
22/05/2024,It Management And Change - Application Support Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Cgi It Uk Ltd,597737,100833.67,Desnz - Rrems Business As Usual-it Management And Change - Application Support Services,Ec3m 3by,Vendor
22/05/2024,Ict Maintenance & Upkeep,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Nuvia Ltd,597752,144588.73,Desnz - Radiation Monitor Network-ict Maintenance & Upkeep,Wa3 6xg,Vendor
24/05/2024,Other Technical Professional Services,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Protection Directorate",Met Office,598162,360230.17,Desnz - Rrems Business As Usual-other Technical Professional Services,Ex1 3pb,Wga Only
20/05/2024,Programme Monitoring And Evaluation,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Ipsos (Market Research) Ltd,585878,61150,Desnz - Energy Price Guarantee - Domestic-programme Monitoring And Evaluation,E1w 1yw,Vendor
20/05/2024,Programme Monitoring And Evaluation,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Ipsos (Market Research) Ltd,586621,54398,Desnz - Energy Price Guarantee - Domestic-programme Monitoring And Evaluation,E1w 1yw,Vendor
13/05/2024,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Elexon Ltd,594293,37579089.3,Desnz - Energy Price Guarantee Gb - Domestic Ame-current Grants To Private Sector - Npish,Nw1 3aw,Vendor
17/05/2024,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Xoserve Ltd,595855,1329849.96,Desnz - Energy Price Guarantee Gb - Domestic Ame-current Grants To Private Sector - Npish,B91 3dl,Grant
17/05/2024,Current Grants To Private Sector - Npish,Desnz - Energy Markets & Supply - Desnz - Energy Affordability,Xoserve Ltd,595855,16458597.86,Desnz - Energy Price Guarantee Gb - Domestic Ame-current Grants To Private Sector - Npish,B91 3dl,Grant
