Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
17/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Engage Consulting Ltd,602870,32707,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ec2n 1hn,Vendor
18/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Engage Consulting Ltd,603101,28100,Desnz - Net Zero Innovation - Smart-r & D Outsourced Other,Ec2n 1hn,Vendor
19/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Switchee Ltd,603632,69202.32,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Se1 9eq,Grant
25/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kensa Heat Pumps Ltd,603908,70622.23,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Tr4 8rj,Grant
25/06/2024,R & D Current Grants To Private Sector - Npish,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Kensa Heat Pumps Ltd,604151,37430.44,Desnz - Net Zero Innovation - Built-r & D Current Grants To Private Sector - Npish,Tr4 8rj,Grant
27/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",National Nuclear Laboratory Ltd,604704,133737.11,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Wa3 6ae,Vendor
27/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Ultra Safe Nuclear Corporation Uk Ltd (Usnc-uk),604730,609741.6,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Wa10 6bw,Vendor
27/06/2024,R & D Outsourced Other,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Office For Nuclear Regulation,605358,42093.31,Desnz - Net Zero Innovation - Nuclear-r & D Outsourced Other,Np10 8fz,Vendor
27/06/2024,R & D Research And Development Expenditure,"Desnz - Net Zero, Nuclear & International - Desnz - Science And Innovation",Carbon Trust Advisory Ltd,605377,267816.89,Desnz - Net Zero Innovation - Built-r & D Research And Development Expenditure,Se1 9nt,Vendor
05/06/2024,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Ove Arup And Partners Ltd,600648,251168.69,Desnz - Hydrogen And Industrial Energy Business Models-consultancy Expenditure,Ne1 3pl,Vendor
18/06/2024,Economic Consultancy & Research,"Desnz - Net Zero, Nuclear & International - Desnz - Inz: Climate Finance & Strategy",The Royal United Services Institute For Defence And Security Studies (Rusi),603078,37350,Desnz - Climate Change Economic Analysis-economic Consultancy & Research,Sw1a 2et,Vendor
11/06/2024,Other It Consultancy,Ics - Integrated Corporate Services - Ics - Digital,Avanade Uk Ltd,601632,54210,Ics - Transition - Dsit-other It Consultancy,Ec3m 3bd,Vendor
05/06/2024,Consultancy Expenditure,Desnz - Energy Infrastructure - Desnz - Hydrogen And Industrial Carbon Capture,Office Of Gas And Electricity Markets (Ofgem),600400,306489.22,Desnz - Hydrogen Economy-consultancy Expenditure,E14 4pu,Grant
06/06/2024,Misc. Non Procurement Spend,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Office For Nuclear Regulation,597782,28029.47,Desnz - Devolved Admin-misc. Non Procurement Spend,Np10 8fz,Vendor
03/06/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",National Nuclear Laboratory Ltd,599231,49999.99,Desnz - Net Zero - Nnl Facilities-technical Advice / Services & Support,Wa3 6ae,Vendor
14/06/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Springfields Fuels Ltd,601975,39675.67,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Private Sector - Companies,Pr4 0xj,Vendor
13/06/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Npl Management Ltd,602187,34980.7,Desnz - Medical Radioisotope Innovation Programme-technical Advice / Services & Support,Tw11 0lw,Vendor
13/06/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",International Nuclear Services Ltd T/A Nuclear Transport Solutions,602210,87886.68,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Private Sector - Companies,Wa3 6gr,Vendor
13/06/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Npl Management Ltd,602248,43364,Desnz - Medical Radioisotope Innovation Programme-technical Advice / Services & Support,Tw11 0lw,Vendor
13/06/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",International Nuclear Services Ltd T/A Nuclear Transport Solutions,602249,105225.39,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Private Sector - Companies,Wa3 6gr,Vendor
13/06/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Springfields Fuels Ltd,602251,124465.94,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Private Sector - Companies,Pr4 0xj,Vendor
13/06/2024,Capital Grants To Private Sector - Companies,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",Springfields Fuels Ltd,602255,86353.12,Desnz - Critical Infrastructure And Capability Package - Fuel Programme-capital Grants To Private Sector - Companies,Pr4 0xj,Vendor
18/06/2024,Technical Advice / Services & Support,"Desnz - Net Zero, Nuclear & International - Desnz - Nuclear Power And Decommissioning",National Nuclear Laboratory Ltd,603088,49999.99,Desnz - Net Zero - Nnl Facilities-technical Advice / Services & Support,Wa3 6ae,Vendor
10/06/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Aecom Ltd,585520,59360.61,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure,Wc1v 6qs,Vendor
10/06/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Aecom Ltd,595036,59360.61,Desnz - Hndu Pipeline And Related Expenditure-research And Development Expenditure,Al1 3lx,Vendor
05/06/2024,Legal Costs,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Burges Salmon Llp,600372,51993,Desnz - Heat Networks Zoning-legal Costs,Bs2 0zx,Vendor
05/06/2024,Legal Costs,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Burges Salmon Llp,600373,72088.2,Desnz - Heat Networks Zoning-legal Costs,Bs2 0zx,Vendor
05/06/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Lichfield District Council,600657,148328,Desnz - Hndu Pipeline And Related Expenditure-current Grants To Local Government,Ws13 6yy,Grant
12/06/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vital Energi Utilities Ltd,601885,71444.27,Desnz - Heat Networks Efficiency Scheme (Hnes)-Outsourced Programme Management,Bb1 2ld,Vendor
13/06/2024,Administration Of Grants And Awards,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Triple Point Investment Management Llp,602305,236584.86,Desnz - Green Heat Networks Fund (Ghnf)-Administration Of Grants And Awards,Ec4n 7af,Vendor
14/06/2024,Outsourced Programme Management,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Triple Point Investment Management Llp,602465,87703.8,Desnz - Hnip Delivery Programme Expenditure-outsourced Programme Management,Ec4n 7af,Vendor
14/06/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,City Of Wakefield Metropolitan District Council,602531,97000,Desnz - Hndu Pipeline And Related Expenditure-current Grants To Local Government,Wf1 2eb,Wga Only
14/06/2024,Current Grants To Local Government,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,City Of Wakefield Metropolitan District Council,602536,210412,Desnz - Hndu Pipeline And Related Expenditure-current Grants To Local Government,Wf1 2hq,Wga Only
20/06/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Bradford Energy Ltd,603928,729292.72,Desnz - Green Heat Networks Fund (Ghnf)-Capital Grants To Private Sector - Companies,Nw6 3jl,Grant
24/06/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Ove Arup And Partners Ltd,604404,69069,Desnz - Heat Networks Zoning-research And Development Expenditure,W1t 4bq,Vendor
24/06/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Vital Energi Utilities Ltd,604409,29248,Desnz - Green Heat Networks Fund (Ghnf)-Capital Grants To Private Sector - Companies,Bb1 2ld,Vendor
24/06/2024,Capital Grants To Private Sector - Companies,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Net Zero Buildings - Clean Heat,Metropolitan Housing Trust Ltd,604411,28195.08,Desnz - Green Heat Networks Fund (Ghnf)-Capital Grants To Private Sector - Companies,N14 6pw,Grant
