Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
11/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Baringa Partners Llp,588237,125000,Desnz - Reform Of Energy System Operations-other Professional Services,Sw1e 6aj,Vendor
18/04/2024,Legal Costs,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Dentons Uk And Middle East Llp,589817,364362.69,Desnz - Reform Of Energy System Operations-legal Costs,Ec4m 7ws,Vendor
18/04/2024,External Legal Advice And Service,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Dentons Uk And Middle East Llp,589830,344043.55,Desnz - Reform Of Energy System Operations - Admin-external Legal Advice And Service,Ec4m 7ws,Vendor
30/04/2024,External Legal Advice And Service,Desnz - Energy Infrastructure - Desnz - Energy Systems & Networks,Dentons Uk And Middle East Llp,592815,255903.91,Desnz - Reform Of Energy System Operations-external Legal Advice And Service,Ec4m 7ws,Vendor
22/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Hartley Anderson Ltd,585948,28191.6,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services,Ab41 8er,Vendor
15/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Hartley Anderson Ltd,588944,47682,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services,Ab41 8er,Vendor
15/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Hartley Anderson Ltd,588946,105643.63,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services,Ab41 8er,Vendor
15/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Hartley Anderson Ltd,588947,62247.6,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services,Ab41 8er,Vendor
16/04/2024,Other Professional Services,Desnz - Energy Infrastructure - Desnz - Offshore Petroleum Regulator For Environment And Decommissioning,Hartley Anderson Ltd,589346,35975.5,Desnz - Offshore Energy Strategic Environmental Assessment-other Professional Services,Ab41 8er,Vendor
02/04/2024,Energy Management Services,"Desnz - Net Zero, Nuclear & International - Desnz - Net Zero Strategy",Ernst And Young Llp,585253,33600,Default-energy Management Services,Se1 2af,Vendor
02/04/2024,Research And Development Expenditure,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Iff Research Ltd,584394,28178.33,Desnz - Roll-out Of Smart Meters-research And Development Expenditure,Ec3r 6hd,Vendor
18/04/2024,Other Technical Professional Services,Desnz - Net Zero Buildings And Industry (Nzbi) - Desnz - Smart Metering Implementation Programme,Baringa Partners Llp,589698,46620,Desnz - Roll-out Of Smart Meters-other Technical Professional Services,Sw1e 6aj,Vendor
